repo_url,repo_name,reason_skipped,current_hash,commits_used,commits_walked,commits_total,rtl_dir,dv_dir,test_cmd
https://github.com/lowRISC/lowrisc.github.io,lowrisc.github.io,archived,,,,,,,
https://github.com/lowRISC/riscv-tests,riscv-tests,fork,,,,,,,
https://github.com/lowRISC/riscv-tools,riscv-tools,fork,,,,,,,
https://github.com/lowRISC/riscv-gnu-toolchain,riscv-gnu-toolchain,fork,,,,,,,
https://github.com/lowRISC/riscv-gcc-tagged-memory-v0.1,riscv-gcc-tagged-memory-v0.1,fork,,,,,,,
https://github.com/lowRISC/lowrisc-tag-tests,lowrisc-tag-tests,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/riscv-fesvr,riscv-fesvr,fork,,,,,,,
https://github.com/lowRISC/lowrisc-images-zedboard,lowrisc-images-zedboard,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/fpga-zynq,fpga-zynq,,,,,138,,,
https://github.com/lowRISC/lowrisc-chip,lowrisc-chip,,,,,716,,,
https://github.com/lowRISC/rocket,rocket,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/uncore,uncore,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/lowrisc-site,lowrisc-site,archived,,,,,,,
https://github.com/lowRISC/riscv-linux,riscv-linux,fork,,,,,,,
https://github.com/lowRISC/riscv-isa-sim,riscv-isa-sim,fork,,,,,,,
https://github.com/lowRISC/zscale,zscale,fork,,,,,,,
https://github.com/lowRISC/socip,socip,,,,,76,,,
https://github.com/lowRISC/flexpret,flexpret,fork,,,,,,,
https://github.com/lowRISC/lowrisc-fpga,lowrisc-fpga,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/lowrisc-kc705,lowrisc-kc705,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/lowrisc-tests,lowrisc-tests,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/junctions,junctions,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/chisel-components,chisel-components,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/riscv-test-env,riscv-test-env,fork,,,,,,,
https://github.com/lowRISC/riscv-pk,riscv-pk,fork,,,,,,,
https://github.com/lowRISC/lowrisc-kc705-images,lowrisc-kc705-images,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/lowrisc-nexys4,lowrisc-nexys4,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/context-dependent-environments,context-dependent-environments,fork,,,,,,,
https://github.com/lowRISC/lowrisc-bbl,lowrisc-bbl,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/lowrisc-docker,lowrisc-docker,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/lowrisc-nexys4-video,lowrisc-nexys4-video,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/lowrisc-doc,lowrisc-doc,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/greth-library,greth-library,fork,,,,,,,
https://github.com/lowRISC/glip,glip,fork,,,,,,,
https://github.com/lowRISC/hjson_to_gantt,hjson_to_gantt,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/riscv-llvm,riscv-llvm,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/riscv-opcodes,riscv-opcodes,fork,,,,,,,
https://github.com/lowRISC/chisel,chisel,fork,,,,,,,
https://github.com/lowRISC/minion_subsystem,minion_subsystem,,,,,17,,,
https://github.com/lowRISC/abicop,abicop,not enough Verilog/SV (<5%),,,,,,,
https://github.com/lowRISC/riscv-binutils-gdb,riscv-binutils-gdb,fork,,,,,,,
https://github.com/lowRISC/riscv-glibc,riscv-glibc,fork,,,,,,,
https://github.com/lowRISC/riscv-dejagnu,riscv-dejagnu,fork,,,,,,,
https://github.com/lowRISC/riscv-gcc,riscv-gcc,fork,,,,,,,
https://github.com/lowRISC/riscv-newlib,riscv-newlib,fork,,,,,,,
https://github.com/lowRISC/dma_axi,dma_axi,fork,,,,,,,
https://github.com/lowRISC/ibex,ibex,,9742d89f,4,2916,2917,rtl/,dv/cs_registers,bash clones/lowRISC__ibex__tb/run_tests.sh
https://github.com/lowRISC/opentitan,opentitan,,a7cb9a484ee4c227a0b65f4bb6ed372e94e3b7d7,2,2986,3000,hw/ip/prim/rtl,hw/ip/prim/dv,bash clones/lowRISC__opentitan__tb/run_prim_fifo.sh
